type,timestamp,ping.latency,download.bandwidth,upload.bandwidth,packetLoss,isp,server.name,server.host,result.url
result,2020-08-07 10:15:27+07:00,12.823,67.591464,14.779768,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/3fd089a7-c70b-496c-ab12-3c71b18b27f9
result,2020-08-07 10:30:22+07:00,9.756,147.254024,15.028552,0.0,FirstMedia,PT Primacom Interbuana,speedtest.primacom.id,https://www.speedtest.net/result/c/47af9401-423b-4d12-936b-15997c0a890b
result,2020-08-07 10:45:30+07:00,10.229,123.452032,15.385408,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/cb400e4a-32a5-405c-be44-2d87d8217553
result,2020-08-07 11:00:30+07:00,9.667,96.399064,15.250264,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/2f65f689-b057-42ed-8043-a8982a638294
result,2020-08-07 11:15:26+07:00,9.725,20.478056,15.372312,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/96c9db2a-ca22-4524-9763-d54241e7b300
result,2020-08-07 11:30:25+07:00,8.844,101.79816,14.455872,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/dd1b7234-e6de-40d8-bc86-37cd63e505d7
result,2020-08-07 11:45:19+07:00,8.68,14.434336,15.600424,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/4a743e1a-7864-4201-a5e5-e50a2c8a0c8d
result,2020-08-07 12:00:25+07:00,8.208,73.44768,14.96504,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/710faf26-9938-4ec0-b63b-8f3a3273e220
result,2020-08-07 12:15:28+07:00,11.064,151.471736,15.335016,0.0,FirstMedia,PT Primacom Interbuana,speedtest.primacom.id,https://www.speedtest.net/result/c/9f7b725c-df46-473e-8a16-a129d1cae371
result,2020-08-07 12:30:26+07:00,9.459,115.662856,15.340648,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/f9079d14-0c31-4618-be3b-e6e99a9cf4ee
result,2020-08-07 12:45:34+07:00,8.773,8.93484,14.98816,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/5d95692a-e652-4de4-8d0c-1511d3653b14
result,2020-08-07 13:00:25+07:00,10.943,95.222528,15.427744,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/266ae26a-70d5-4a90-9286-cea020aeadc7
result,2020-08-07 13:15:25+07:00,13.864,10.07028,14.489192,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/2bfdf38b-9976-40fe-b2cf-d2c336dd2cf4
result,2020-08-07 13:30:28+07:00,11.967,99.380208,15.434296,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/f868df24-ece2-4b42-b983-935512b28cf8
result,2020-08-07 13:45:24+07:00,11.138,106.60924,15.283392,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/852b2658-1719-4b3d-a5a6-648122cf2802
result,2020-08-07 14:00:26+07:00,10.75,114.375552,15.142848,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/4cdf26cb-ff02-4eea-8005-129960bd8fe5
result,2020-08-07 14:15:24+07:00,10.59,145.757496,15.278984,0.0,FirstMedia,PT Primacom Interbuana,speedtest.primacom.id,https://www.speedtest.net/result/c/c0a00e2b-2ebb-4b3a-aebb-fd1fd7fc6657
result,2020-08-07 14:30:35+07:00,8.984,86.940512,15.334752,0.3367003367003367,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/13578c6f-a3ae-4b38-9242-94d7c4089b53
result,2020-08-07 14:45:18+07:00,10.362,73.457928,14.683056,0.0,FirstMedia,PT Parsaoran Global Datatrans,speedtest.hsp.net.id,https://www.speedtest.net/result/c/7d0f42bc-ba97-4913-8d36-ea32758b00f3
result,2020-08-07 15:00:22+07:00,9.369,20.088112,15.269328,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/b3d78633-07b1-4d41-9c2e-4b1196b892ac
